post_date,project,website,post_title,author,number,website_link,post_status,post_author
2014-10-13 00:00:00,9-19 Ninth Ave,NY Times,New Entry in Meatpacking District,Keiko Morris,,https://www.wsj.com/articles/new-entry-in-meatpacking-district-1413251657,publish,8
2014-06-11 00:00:00,One Vandam,WSJ,Quirky lots shape buiding projects,Josh Barbanel,,http://online.wsj.com/articles/quirky-lots-shape-building-projects-1402537230,publish,8
2014-05-15 00:00:00,1163,Architect's Newspaper,Cast of Characters: BKSK's warping tribute to Soho's cast-iron history,Branden Klayko,,http://www.archpaper.com/news/articles.asp?id=7311#.U77Kqo1dWBE,publish,8
2014-05-01 00:00:00,SCC,Fast Company,4 award-winning buildings that nudge people to live healthier lives,Jessica Leber,,http://www.fastcoexist.com/3029708/4-award-winning-buildings-that-nudge-people-to-live-healthier-lives?partner=newsletter#1,publish,8
2014-04-23 00:00:00,22 Bond,Commercial Observer,NoHo's 22 Bond Finally Evolving into Condo,Lauren Elkies Schram,,http://commercialobserver.com/2014/04/nohos-22-bond-finally-evolving-into-a-condo/,publish,8
2014-04-01 00:00:00,Tribeca Loft,Interiors (print magazine),Tribeca Evolution,Ayesha Khan,April/May issue,http://www.interiorsdigital.com/interiors/april_may#pg2,publish,8
2013-09-25 00:00:00,1163,Arch Daily ,"NYC Landmarks Preservation Commission Lauds "Exciting" New Building""YC Landmarks Preservat",Jose Luis Gabriel Cruz,,http://www.archdaily.com/431765/nyc-landmarks-preservation-commission-lauds-exciting-new-building/,publish,8
2013-09-18 00:00:00,1163,Curbed,Landmark Commission blown away by 1163 Designs,Sara Polsky,,http://ny.curbed.com/archives/2013/09/18/landmarks_commission_blown_away_by_529_broadway_designs.php#reader_comments,publish,8
2013-09-15 00:00:00,One Madison aka 22nd St,NY Times,"Finally, One Madison is Back",Julie Satow,,http://www.nytimes.com/2013/09/15/realestate/finally-one-madison-is-back.html?pagewanted=all,publish,8
2013-08-29 00:00:00,MoMath,NY Times,Hands-On Math Lessons (No Homework Required),Helene Stapinski ,,http://www.nytimes.com/2013/08/30/arts/design/hands-on-math-lessons-no-homework-required.html,publish,8
2012-04-03 00:00:00,38th Street ,The New York Times (print & online),Development Thrives in the Hudson Rail Yards,Julie Satow,,http://www.nytimes.com/2012/04/04/realestate/commercial/development-flourishes-in-manhattans-hudson-yards-district.html?_r=0,publish,8
2012-03-27 00:00:00,St. Hilda's Convent,Worship Facilities (print and online),A Forward Retreat. The sisters of New York City's Hilda's House cultivate an ideal example of sacrificial and sustainable living ,Rachel Allen,,http://www.worshipfacilities.com/go.php/editorial/17410,publish,8
2012-03-21 00:00:00,77 Reade St,The New York Observer,"Tribeca Whopper: First Unit, $6.45 M. Penthouse Combo, Closes at 77 Reade Street",Matt Chaban,,http://observer.com/2012/03/tribeca-whopper-first-unit-a-6-45-m-penthouse-combo-closes-at-77-reade-street/,publish,8
2011-10-19 00:00:00,CHS Convent,The Architect's Newspaper (print & online),Savvy Sisters: A Sustainable Convent in Harlem,Gwen Webber,,http://www.archpaper.com/news/articles.asp?id=5716,publish,8
2011-06-28 00:00:00,MoMath,NY Times,"One Math Museum, Many Variables",Kenneth Chang,,http://www.nytimes.com/2011/06/28/science/28math.html?partner=rss&emc=rss&pagewanted=all,publish,8
2011-06-20 00:00:00,77 Reade,Avenue Magazine (print & online),Lofty Living ,,,http://issuu.com/avenueinsider/docs/061011 ,publish,8
2011-04-14 00:00:00,NYHofS,NY Times,Science and Secrets in New York City Playgrounds,Laurel Graeber,,http://www.nytimes.com/2011/04/15/arts/design/extraordinary-playgrounds-in-new-york-city-boroughs.html,publish,8
2011-04-01 00:00:00,168,American Libraries,Annual Library Design Showcase,Greg Landgraf,,http://americanlibrariesmagazine.org/librarydesign11,publish,8
2011-03-01 00:00:00,Joan Krevlin,March magazine (print),"The Contextualist: Joan Krevlin is fluent in many architectural genres, and adapts her design aesthetic to suit each project",Ruth Davila,2/4,http://marchmagazineonline.com/2011/03/01/marchapril-2011/,publish,8
2011-03-01 00:00:00,West 12th St/Upper East Side apt,Luxury Home Quarterly (print),The Teams: BKSK Architects,Zach Baliva,2/7,,publish,8
2011-02-28 00:00:00,168,Architectural Record (online),Building Type Study - Libraries,,,http://archrecord.construction.com/projects/Building_types_study/libraries/2011/168-public-library.asp,publish,8
2010-12-15 00:00:00,168,Library Journal (print & online),The Year in Architecture,,135/20,http://www.libraryjournal.com/lj/communityarchitecture/888460-479/the_year_in_architecture_2010.html.csp,publish,8
2010-12-09 00:00:00,25 Bond,New York Observer (print & online),The Fresh Prince of Bond Street,Matt Chaban,,http://www.observer.com/2010/real-estate/fresh-prince-bond-street,publish,8
2010-11-30 00:00:00,168,Interior Design Magazine Daily Fix Blog,BKSK designs detailed 168 Library,,,http://dailyfix.interiordesign.net/projects/governmentinstitution/2886/bksk-architects-designs-detailed-168-library,publish,8
2010-11-29 00:00:00,SCC,The Architect's Newspaper (print & online),BKSK makes good connections in south Brooklyn,Jim Wegener,,http://www.archpaper.com/e-board_rev.asp?News_ID=5006,publish,8
2010-05-01 00:00:00,QBG,A+U: Architecture & Urbanism (print),Currents in Sustainability in the USA: New York City,Adam Yarinsky,476,,publish,8
